AuthorID,Author,Content,Date
1174760528929902662,natalia130872,Вітаю),2024-01-17T20:52:15.4270000+02:00
1174705952314896414,oleksiy0805,Вітаю!,2024-01-17T21:34:04.6670000+02:00
1115913245363027988,dimytr,Pryvit!,2024-01-18T09:22:28.7310000+02:00
674537666141749278,romastefankiv,ура!,2024-01-18T12:28:28.3910000+02:00
1192402836709974138,immaculate_avocado_01843,"Добрий день! Питання по запчастині до дрону, щодо  відеопередавача VTX позиція 4 в пепеліку запчастин, відсутня у постачальника на Аліекспресс, він пропонує заміну, на фото. Чи підійде саме ця модель. Дякую за відповідь!",2024-01-18T12:42:13.7430000+02:00
1180949383731216408,499872_,Чи можливо встановити vtx без куллера?,2024-01-18T13:46:59.8890000+02:00
1174705952314896414,oleksiy0805,можливо,2024-01-18T15:04:13.5530000+02:00
1197560822910701744,vitalii_mel,"Доброго Не вдається купити Соло Макс 2,5Вт  Чи можна ставати соло танк 5,8G 1,6Вт?",2024-01-18T17:57:02.5600000+02:00
1174705952314896414,oleksiy0805,ні,2024-01-18T18:29:07.7860000+02:00
1197560822910701744,vitalii_mel,Дякую,2024-01-18T18:32:19.6600000+02:00
1190129823360745502,alexsumy,"Доброго. фото поетапного монтажу, пайки сюди кидати?",2024-01-18T21:05:44.4920000+02:00
129536901680988160,dferens,"та ж проблема, не можу знайти в продажу ні один VTX із списку, один магазин взагалі пише що чекати треба до березня бо в китайців свята.  якщо хтось підкаже альтернативні VTX які можна купити для збірки ""Народний FPV"", буду вдячний.",2024-01-18T21:40:34.6160000+02:00
1189099618429059180,bravo19233,"Вітаю. Чи обов'язково плату обробляти діалектричним лаком ? У випадку якщо у мене нема смок контролера, я можу попробувати запустити дрон, через лабораторний блок живлення задавши йому обмеження по струму (1А) ?",2024-01-18T22:49:21.0910000+02:00
1192564620565684306,bdbdbdbdbd1,"Доброго ранку, Народний дрон - це тільки про 7-и дюймові? Чи відправляти 8-ми дюймовий?",2024-01-19T10:14:30.8390000+02:00
