Question,Expected
"Підкажіть, будь ласка, чи обрв'язково RX закривати прозорою термоусадкою,  а кольоровою можна?","краще прозорою, бо хлопці потім самостійно міняють"
"Скажіть, будь ласка, чому антена Lollypop після монтажу на  раму із затягненими гайками легко обертається навколо своєї осі. Загнути її догори не вдається- сама опускається?","Ви не докрутили антену на пігтейл. Крутіть далі. Антена не повинна обератися. Якщо обертається, то не рекомендую давати живлення на дрон. Спалите vtx."
"Скажіть, будь ласка, чому антена Lollypop після монтажу на  раму із затягненими гайками легко обертається навколо своєї осі. Загнути її догори не вдається- сама опускається? Гайки затягнуті добре, живлення вже подавав, 5 звуків пролунало","Є підозра що ви пігтейл проділи знизу кріплення для антени і зверху прикрутили гвинтами, в такому разі або антена впирається у гвинти і далі не крутиться, або ж впирається в 3д друк. Фікситься виносом пігтейла назовні 3д друку, а гвинти знизу"
"Доброго дня, підкажіть, чим можна розкрутити круглі гайки, що фіксують промені рами? Треба розібрати раму, а все вже на фіксаторі, якось зафіксувати і прокрутити не виходить","Мені допомогло промінь на злам в бік гайки вигнути, щоб був більший спротив і тоді відкрутилось."
"Добрий час, підкажіть будь ласка, чи є проблемою , коли припій падає на таку деталь регулятора обертів?",Цього вам мабуть ніхто не скаже... І перевірити ви зможете лише вкінці мабуть подавши живлення через Smoke-Stopper і потім під'єднавши до ESC Configurator-a... На майбутнє раджу ЗАВЖДИ (!) перед пайкою заклеювати середину плати малярською стрічкою або каптоновим скотчем - якраз на випадок ось таких нещасть.
"Доброго дня.
Почала збирати дрон.
Зібрала раму. А вже потім виявила, що не тим боком прикріпила площадку під регулятор обертів моторів та польотний контролер. Почала розкручувати назад. Один гвинт заїло. Пробувала капати машинним маслом — не допомагає. Не підкажете, як можна вийти з цього положення. Сиджу на хуторі. Зайшла до сусіда, сусід (не майстер) підтвердив те. що я бачила й сама - зірвалася нарізка на гвинті і тому не можна відкрутити. Не хотілося б через це замовляти нову раму.","треба банально в отворі зафіксувати гайку, потім натискаючи на різьбу гвинта викручувати його рано чи пізно нарізки гвинта і гайки зайдуть в щеплення і гвинт викрутитися, наберіться терпіння, ні в якому разі не заломуйте і нічого не перекошуйте, я навпаки не викручував би інші гвинти поки не розібрався з проблемним, оскіль тепер все бовтається і тільки заважає
Не намагайтеся розклинити, не вставляйте в зазор зайвих предметів, краще навпаки знову зафіксуйте в додаткових отворах цей промінь і вирішіть проблему"
Пробую змити недільний флюс ізопропиловим спиртом. Я так розумію що флюс треба змивати одразу після пайки бо повністю не вийде змити і все стане таким матовим та липким?,"Якщо сильно присохло, підігрійте, зовсім трішки, додайте спирту далі хб (бавовняна тканина) і по тексту"
Дуже гріється відео передавач при налаштуванні моторів. Навіть з вентилятором поруч. Навіть коли вимкнена потужність в BetaFlight. Є вихід робити це налаштування не поспішаючи?,Увімкнути піт мод
Доброго дня всім.Шановна спільнота виявив замикання на рег.обертів після чого  після перевірки smoke stopper  починає рух один з двигунів та видає неправильний звук,Пішов дим - значить щось вигоріло. В ремонт. Або під заміну.
"Я намагався зробити каплю цільною, але вона цільна тільки зверху. Знизу і іноді збоку може бути не так. Дуже довго боровся з тим, що капля падала просто на нижню частину плати, а на верхній все убігало до неї. Але наче поборов. Чи правильна пайка, чи треба перепаяти?",Коли фокусуєтесь на краплях не забувайте провід втоплювати так щоб контактував з мідним контактом. Чим більша площа контакту тим краще.
"Доброго дня. Панове, підкажіть будь ласка, скільки днів можна зберігати повністю заряджений акумулятор? Зарядив дві батки тиждень тому, але шось з хлопцями ніяк не виїдемо на тестові польоти. Думаю, може зараз розрядити хоча б до половини та зарядити заново? Бо, чи виїдемо сьогодні, теж не знаю.","Акумулятори деградують при тривалому зберіганні повністю зарядженими. Це тривалий процес, відбувається поступово, тобто не варто зберігати наприклад пів року повністю заряджений акум. Загалом якщо планується політ на днях, то нічого страшного. В ідеалі - зберігати наполовину зарядженим, а за день до вильотів заряджати"
"Доброго! Тут радили, шоб не горів,відрізати ніжки конденсатора і паяти його  максимально близько до з'єднання силових кабелів з ESC. Або підпаювати замість ніжок залишки проводів від моторів, залишаючи від самих ніжок 2 - 3 мм","Чутки про їх горіння у великій мірі перебільшені. Буває, але це не значить що горить кожен другий чи навіть кожен десятий.
Якщо хочете перестрахуватись - краще поставте якісніший конденсатор "
"Спільнота доброго ранку 
Хто стикався з проблемою коли ставиш канал наприклад R1 а дрон по факту працює на B5 хоча в бетафлаї все правильно 
З чим це пов'язано і як можливо вирішити?
Я так розумію це проблема у vtx","що значить ""по факту""? Шолом знаходить картинку на B5, хоча в VTX висталено R1?
А на R1 є картинка?

Це не проблема VTX. Просто частоти там дуже близько і картинка ловиться шоломом і на R1 і на B5."
"Підкажіть а як загинати ніжки на конденсаторі, якщо в мене конденсатор буде під кутом як на фото? Якщо орієнтуватись по курсу то там автор трохи повідгинав їх у сторони, але нього конденсатор стояв прямо. Якщо ж мені відгинати то десь так має бути як на другому фото? Чи вставляти у дірки що на ділянках силових як на третьму фото?","Коли по діагоналі ставиш конденсатор, то звісно ніжки виходять різної довжини, просто намагайтесь якомога ближче його підводити, щоб коротше ніжки були. Якщо термоусадка повністю не закриває, потім коли будете лакувати, то пролакуєте і цю частину ніжок."
"Добрий день!
Більш досвідчені колеги, підкажіть!
На фінальному етапі після пайки та підключеня не горять діоди як в навчальному відео.Але смокер помилок не показує(зеленим моргає).
Це щось не так? Чи таке можливо",я б рекомендував взяти тестер і продзвонити всі пайки на сусідніх ногах. і поміряти що на пінах живлення
"Допоможіть будь ласка, почав вчитись паяти, мажу флюсом, підношу паяльник з припоєм до плати, а припій формується в краплі , і зтікає з плати, не липне взагалі , що я не так роблю?",Cпробуйте замінити флюс
"Всім привіт, це моя перша пайка (взагалі), і в мене трішки виникло роозпорозуміння в маркуванні між  платою контролера speedybee та відеопередавачем rushfpv maxsolo. Які контакти куди запаяти? Бо в відеоуроці інше маркування.","9v - червоний
G - чорний
VTX - жовтий
T1 - синій"
Чи потрібно перероблювати якщо поверх дзеркально краплини флюс з припою залишився? Я думаю воно змиється ізопропиловим спиртом?,"Так, флюс спиртом легко змивається"
